IDNUM,PROV,ESTRATOPRI,apoyo_golpe,apoyo_cierre,lider_fuerte,limitar_oposicion,cinismo_democ,prioridad_seguridad,victima_delito,percep_inseguridad,sexo_mujer,educacion_anos,ingresos_rango
2277,1115,1103,1,0,3,2,7,1,1,4,1,4,1105
9874,1115,1103,1,1,4,4,5,1,0,3,1,5,1111
2387,1115,1103,0,1,4,1,1,0,0,3,1,6,1112
2585,1115,1103,1,1,4,5,3,0,0,2,1,3,1104
3828,1115,1103,0,0,4,1,3,1,1,3,0,6,1111
1363,1115,1103,1,0,2,1,4,0,1,2,0,6,1115
1446,1115,1103,0,1,1,4,2,0,0,2,0,5,1102
224,1115,1103,1,0,3,4,5,1,0,3,0,2,1111
805,1115,1103,0,1,3,3,4,0,0,2,0,6,1111
1661,1115,1103,0,1,3,5,2,0,0,2,0,6,1107
4900,1115,1103,1,1,3,5,4,0,0,4,1,4,1104
2590,1115,1103,1,1,3,4,1,0,1,4,1,4,1107
9079,1115,1103,1,0,2,2,7,1,0,1,0,4,1108
2199,1115,1103,0,1,1,5,3,0,0,3,1,6,1106
1203,1115,1103,0,0,3,3,6,0,0,2,0,6,1113
2123,1115,1103,1,0,3,4,4,1,0,3,1,4,1114
8374,1115,1103,0,0,1,1,4,1,1,3,1,5,1106
7097,1115,1102,1,0,2,6,3,0,0,3,1,6,1105
1189,1115,1102,0,0,3,3,5,0,0,4,1,5,1106
1549,1115,1103,1,0,3,3,5,0,1,4,0,4,1108
9694,1115,1102,1,0,3,2,5,0,1,3,0,4,1103
7579,1115,1103,1,0,3,4,3,1,1,1,0,6,1112
3144,1115,1103,1,0,3,3,6,0,1,3,1,4,1107
9653,1115,1102,0,1,4,5,7,0,0,3,0,4,1104
1589,1115,1102,1,1,4,7,3,0,0,2,1,3,1105
8090,1115,1103,1,0,4,5,3,0,0,3,0,6,1111
7012,1115,1102,1,0,3,6,3,0,1,2,1,4,1105
666,1115,1102,1,1,1,4,5,0,1,2,0,3,1105
9161,1115,1102,1,0,2,3,4,0,1,3,0,6,1115
9386,1115,1103,0,1,2,3,1,0,1,4,1,4,1106
2464,1115,1103,1,1,4,5,4,0,0,3,1,4,1103
765,1115,1102,1,1,2,2,6,0,0,3,0,4,1103
6371,1115,1102,0,1,5,4,3,0,1,4,1,6,1106
9846,1115,1102,0,0,2,3,5,0,1,3,0,4,1106
7444,1115,1102,1,1,2,3,5,1,1,3,1,2,1108
4236,1115,1103,0,1,2,1,6,0,0,3,0,4,1107
6440,1115,1103,0,0,3,4,4,0,0,3,1,5,1106
6084,1115,1103,1,0,2,1,3,0,0,3,1,4,1106
7315,1115,1103,1,0,2,5,1,0,1,4,0,5,1109
5056,1120,1106,0,0,2,4,5,0,0,4,1,4,1103
3075,1120,1101,1,1,3,5,3,1,1,3,0,6,1107
1283,1120,1106,1,1,3,4,1,0,0,1,1,2,1101
6173,1120,1106,0,0,1,1,1,0,0,1,0,6,1107
7126,1120,1106,0,1,4,3,3,0,0,1,0,4,1109
1719,1120,1101,0,1,4,4,1,0,1,4,0,6,1106
4364,1120,1106,0,0,1,2,3,0,0,4,1,5,1104
3318,1120,1101,1,0,1,6,6,0,0,3,1,5,1105
709,1120,1101,1,0,2,1,7,0,1,3,1,4,1107
7212,1120,1101,1,0,2,4,3,1,1,4,0,4,1102
8641,1120,1106,1,1,3,2,4,0,0,1,0,4,1108
3854,1120,1106,0,0,2,3,1,0,0,2,0,5,1105
8749,1114,1101,0,0,2,2,1,0,0,4,1,5,1112
1732,1114,1101,1,1,3,4,4,1,0,3,1,4,1105
3013,1114,1101,1,1,3,1,4,0,0,2,0,3,1107
8421,1114,1101,1,1,1,1,3,0,1,4,0,4,1109
8418,1114,1101,1,0,3,5,3,0,0,1,1,4,1104
9401,1114,1101,0,1,2,1,1,0,0,1,0,4,1108
9102,1114,1101,1,0,4,3,4,0,0,2,0,6,1107
3882,1114,1101,1,1,4,2,5,0,0,2,0,5,1102
212,1114,1101,1,1,2,6,3,0,1,2,0,6,1111
1168,1114,1101,0,0,4,1,1,0,0,2,0,5,1111
6121,1114,1101,0,0,3,5,3,0,1,2,1,4,1108
9075,1114,1101,1,1,2,7,4,0,1,3,0,4,1106
8233,1114,1101,0,0,2,5,4,0,1,4,1,6,1107
5832,1114,1101,0,0,3,3,3,0,1,3,0,5,1108
5697,1114,1101,1,0,4,5,3,0,0,1,0,4,1103
7011,1114,1101,0,0,4,1,3,0,0,2,0,6,1112
9903,1114,1101,1,0,1,2,2,0,1,4,1,3,1102
3058,1114,1101,1,1,2,3,3,0,1,3,1,5,1104
9055,1115,1103,1,0,4,4,3,0,1,2,0,4,1112
5622,1115,1103,0,0,4,2,5,0,0,2,1,5,1104
4042,1115,1103,0,0,4,1,1,0,0,4,0,6,1114
8123,1115,1103,0,0,1,3,4,1,0,4,1,5,1104
6449,1115,1103,1,0,1,5,2,1,1,4,0,3,1106
4550,1115,1103,1,1,2,5,1,1,0,3,1,5,1111
1571,1115,1103,1,1,3,1,4,0,0,4,1,1,1103
2817,1115,1103,1,0,3,4,4,1,0,4,1,6,1111
5782,1115,1103,0,1,3,2,2,0,1,3,1,4,1103
927,1115,1103,1,0,4,4,6,0,1,4,0,4,1107
6140,1115,1103,1,0,2,3,2,0,0,2,0,5,1115
4967,1115,1103,1,1,3,4,4,0,1,4,1,5,1106
5352,1115,1103,1,1,2,7,1,0,0,3,1,4,1102
109,1115,1103,0,0,2,4,4,1,0,3,1,5,1111
7490,1115,1103,1,1,3,2,4,1,1,4,0,4,1107
5680,1115,1103,0,0,2,1,7,1,0,4,1,1,1103
4476,1115,1103,0,1,2,3,4,1,1,4,0,3,1103
1738,1115,1103,1,1,2,5,5,1,1,3,0,4,1111
5545,1115,1103,0,0,3,1,1,1,1,3,0,5,1112
1792,1120,1101,1,1,1,5,3,0,1,2,0,5,1104
7354,1120,1106,1,0,2,7,1,0,0,4,0,2,1104
4141,1120,1101,1,1,2,5,4,0,0,1,0,4,1101
9531,1120,1101,0,0,3,3,5,0,0,3,1,4,1101
90,1120,1101,0,0,3,4,4,0,0,2,1,6,1102
5279,1120,1106,1,1,1,3,5,0,0,1,1,4,1101
8514,1120,1106,0,0,1,4,4,0,0,2,1,6,1101
8034,1120,1101,1,0,3,4,3,0,1,1,0,6,1106
6941,1120,1106,0,1,2,4,1,0,1,4,1,4,1105
3410,1120,1106,1,0,2,3,1,0,0,1,0,5,1109
5723,1120,1101,1,0,3,4,4,0,1,4,1,5,1103
5471,1114,1101,0,0,1,7,3,0,0,4,1,0,1101
7223,1114,1101,0,0,3,4,3,0,1,2,0,5,1105
7868,1114,1101,0,0,1,1,1,0,0,3,0,6,1112
16,1114,1101,0,0,4,2,3,0,0,2,0,1,1104
5852,1114,1101,0,0,4,6,2,0,1,4,0,2,1102
7401,1114,1101,0,0,1,1,7,0,0,4,1,1,1101
5501,1114,1101,1,1,3,6,5,0,1,3,0,4,1104
2168,1114,1101,1,1,3,4,3,1,1,3,0,4,1106
8802,1101,1104,1,1,2,5,3,0,0,1,1,2,1102
5248,1101,1104,0,1,4,3,5,0,0,1,0,4,1104
1420,1101,1104,1,1,3,1,3,0,1,3,1,4,1102
7616,1101,1104,1,1,2,2,5,1,0,1,0,2,1103
8911,1101,1104,1,0,4,3,1,0,0,1,0,1,1102
4166,1101,1104,0,1,3,1,4,0,1,2,1,5,1102
8227,1107,1103,0,1,1,5,6,1,0,4,0,6,1113
2928,1107,1103,0,0,3,4,5,0,0,4,1,4,1107
4891,1107,1103,1,1,1,2,3,1,1,2,1,4,1107
5927,1107,1103,1,0,3,2,5,0,0,3,1,5,1111
1869,1107,1103,1,0,3,1,1,0,1,3,0,6,1115
5178,1107,1103,0,0,2,1,1,0,0,3,0,6,1113
1653,1107,1103,1,1,4,4,3,1,1,4,1,5,1105
1876,1107,1103,0,0,5,6,1,0,0,1,1,4,1108
8541,1107,1103,0,0,3,1,2,0,0,3,1,6,1108
2374,1107,1103,0,0,3,2,4,1,0,1,0,6,1112
5329,1107,1103,1,1,1,3,2,1,0,4,1,6,1114
2549,1107,1103,1,1,4,3,4,0,0,3,0,6,1114
7782,1107,1103,0,1,1,1,7,0,0,3,0,6,1115
8655,1107,1103,1,1,3,2,7,0,0,4,0,3,1102
9675,1107,1103,1,1,2,4,1,0,0,4,0,5,1110
3104,1107,1103,0,0,1,2,2,0,0,2,0,6,1112
6539,1115,1103,0,1,2,3,1,0,1,4,1,5,1106
9673,1115,1103,1,0,1,4,7,0,0,2,1,4,1107
9851,1115,1103,1,1,2,4,5,1,0,4,0,4,1111
4372,1115,1103,1,0,2,3,4,0,0,2,1,6,1106
1471,1115,1103,1,1,2,2,2,0,0,3,0,5,1112
3423,1115,1103,1,0,4,5,2,0,0,3,0,4,1111
4316,1115,1103,1,1,1,2,6,0,0,4,0,4,1106
1836,1115,1103,0,0,2,4,1,0,1,4,1,4,1107
7740,1115,1103,0,0,3,1,2,0,0,2,0,5,1112
9777,1115,1103,0,0,3,1,4,0,0,2,0,4,1111
6273,1115,1103,1,0,2,3,2,0,0,2,1,6,1108
8091,1115,1103,0,0,2,3,1,0,1,4,0,3,1108
3548,1104,1102,0,0,2,3,4,0,0,2,1,3,1102
5433,1104,1102,0,1,4,2,2,0,1,4,0,6,1112
3667,1104,1102,1,1,3,3,3,0,0,3,0,4,1101
6293,1104,1102,1,1,2,5,4,1,1,4,0,5,1107
8893,1104,1102,1,0,2,7,7,0,1,3,1,6,1106
2088,1104,1102,1,0,2,4,6,1,0,2,0,5,1107
1378,1104,1102,1,0,1,2,4,0,1,2,1,6,1107
4692,1104,1102,0,0,2,4,5,0,1,3,0,2,1102
5935,1118,1102,1,0,2,4,4,0,0,3,1,3,1104
4056,1118,1102,0,0,3,5,3,0,0,3,1,6,1110
4564,1118,1102,0,0,3,4,2,0,1,1,0,5,1113
8741,1118,1102,1,1,3,2,4,0,1,3,0,6,1115
1716,1118,1102,1,0,2,6,3,0,1,3,1,3,1112
