id,departamento,region_macro,actitud_lider,actitud_oposicion,actitud_cinismo,golpe_raw,actitud_golpe,cierre_raw,actitud_cierre,prioriza_seguridad,miedo_barrio,victima_crimen,confianza_policia,mujer,educacion,ingresos
2277,Lima,Lima Metropolitana,3,2,7,1,1,2,0,1,4,1,3,1,4,1105
9874,Lima,Lima Metropolitana,4,4,5,1,1,1,1,1,3,0,5,1,5,1111
2387,Lima,Lima Metropolitana,4,1,1,2,0,1,1,0,3,0,7,1,6,1112
2585,Lima,Lima Metropolitana,4,5,3,1,1,1,1,0,2,0,6,1,3,1104
3828,Lima,Lima Metropolitana,4,1,3,2,0,2,0,1,3,1,6,0,6,1111
1363,Lima,Lima Metropolitana,2,1,4,1,1,2,0,0,2,1,4,0,6,1115
1446,Lima,Lima Metropolitana,1,4,2,2,0,1,1,0,2,0,5,0,5,1102
224,Lima,Lima Metropolitana,3,4,5,1,1,2,0,1,3,0,6,0,2,1111
805,Lima,Lima Metropolitana,3,3,4,2,0,1,1,0,2,0,2,0,6,1111
1661,Lima,Lima Metropolitana,3,5,2,2,0,1,1,0,2,0,6,0,6,1107
4900,Lima,Lima Metropolitana,3,5,4,1,1,1,1,0,4,0,5,1,4,1104
2590,Lima,Lima Metropolitana,3,4,1,1,1,1,1,0,4,1,5,1,4,1107
9079,Lima,Lima Metropolitana,2,2,7,1,1,2,0,1,1,0,1,0,4,1108
2199,Lima,Lima Metropolitana,1,5,3,2,0,1,1,0,3,0,5,1,6,1106
1203,Lima,Lima Metropolitana,3,3,6,2,0,2,0,0,2,0,5,0,6,1113
2123,Lima,Lima Metropolitana,3,4,4,1,1,2,0,1,3,0,4,1,4,1114
8374,Lima,Lima Metropolitana,1,1,4,2,0,2,0,1,3,1,4,1,5,1106
7097,Lima,Costa Sur,2,6,3,1,1,2,0,0,3,0,4,1,6,1105
1189,Lima,Costa Sur,3,3,5,2,0,2,0,0,4,0,1,1,5,1106
1549,Lima,Lima Metropolitana,3,3,5,1,1,2,0,0,4,1,2,0,4,1108
9694,Lima,Costa Sur,3,2,5,1,1,2,0,0,3,1,7,0,4,1103
9502,Lima,Lima Metropolitana,2,1,7,1,1,2,0,1,4,1,3,1,2,
7579,Lima,Lima Metropolitana,3,4,3,1,1,2,0,1,1,1,1,0,6,1112
3144,Lima,Lima Metropolitana,3,3,6,1,1,2,0,0,3,1,1,1,4,1107
9653,Lima,Costa Sur,4,5,7,2,0,1,1,0,3,0,2,0,4,1104
1589,Lima,Costa Sur,4,7,3,1,1,1,1,0,2,0,4,1,3,1105
8090,Lima,Lima Metropolitana,4,5,3,1,1,2,0,0,3,0,4,0,6,1111
7012,Lima,Costa Sur,3,6,3,1,1,2,0,0,2,1,3,1,4,1105
666,Lima,Costa Sur,1,4,5,1,1,1,1,0,2,1,2,0,3,1105
9161,Lima,Costa Sur,2,3,4,1,1,2,0,0,3,1,4,0,6,1115
9386,Lima,Lima Metropolitana,2,3,1,2,0,1,1,0,4,1,5,1,4,1106
2464,Lima,Lima Metropolitana,4,5,4,1,1,1,1,0,3,0,6,1,4,1103
765,Lima,Costa Sur,2,2,6,1,1,1,1,0,3,0,3,0,4,1103
6371,Lima,Costa Sur,5,4,3,2,0,1,1,0,4,1,5,1,6,1106
9846,Lima,Costa Sur,2,3,5,2,0,2,0,0,3,1,4,0,4,1106
7444,Lima,Costa Sur,2,3,5,1,1,1,1,1,3,1,5,1,2,1108
4236,Lima,Lima Metropolitana,2,1,6,2,0,1,1,0,3,0,4,0,4,1107
6440,Lima,Lima Metropolitana,3,4,4,2,0,2,0,0,3,0,2,1,5,1106
6084,Lima,Lima Metropolitana,2,1,3,1,1,2,0,0,3,0,3,1,4,1106
7315,Lima,Lima Metropolitana,2,5,1,1,1,2,0,0,4,1,6,0,5,1109
2899,Lima,Lima Metropolitana,3,4,6,2,0,1,1,0,4,1,1,0,4,
5056,Piura,Sierra Norte,2,4,5,2,0,2,0,0,4,0,5,1,4,1103
3075,Piura,Costa Norte,3,5,3,1,1,1,1,1,3,1,5,0,6,1107
1283,Piura,Sierra Norte,3,4,1,1,1,1,1,0,1,0,6,1,2,1101
6173,Piura,Sierra Norte,1,1,1,2,0,2,0,0,1,0,4,0,6,1107
7126,Piura,Sierra Norte,4,3,3,2,0,1,1,0,1,0,4,0,4,1109
1719,Piura,Costa Norte,4,4,1,2,0,1,1,0,4,1,1,0,6,1106
4364,Piura,Sierra Norte,1,2,3,2,0,2,0,0,4,0,6,1,5,1104
2342,Piura,Sierra Norte,2,2,5,2,0,2,0,0,1,0,2,1,6,
3318,Piura,Costa Norte,1,6,6,1,1,2,0,0,3,0,7,1,5,1105
3976,Piura,Sierra Norte,2,7,1,1,1,2,0,1,3,0,2,1,4,
709,Piura,Costa Norte,2,1,7,1,1,2,0,0,3,1,4,1,4,1107
7212,Piura,Costa Norte,2,4,3,1,1,2,0,1,4,1,2,0,4,1102
8641,Piura,Sierra Norte,3,2,4,1,1,1,1,0,1,0,5,0,4,1108
3854,Piura,Sierra Norte,2,3,1,2,0,2,0,0,2,0,1,0,5,1105
8749,Lambayeque,Costa Norte,2,2,1,2,0,2,0,0,4,0,4,1,5,1112
1732,Lambayeque,Costa Norte,3,4,4,1,1,1,1,1,3,0,4,1,4,1105
3013,Lambayeque,Costa Norte,3,1,4,1,1,1,1,0,2,0,1,0,3,1107
8421,Lambayeque,Costa Norte,1,1,3,1,1,1,1,0,4,1,1,0,4,1109
8418,Lambayeque,Costa Norte,3,5,3,1,1,2,0,0,1,0,7,1,4,1104
9401,Lambayeque,Costa Norte,2,1,1,2,0,1,1,0,1,0,4,0,4,1108
9102,Lambayeque,Costa Norte,4,3,4,1,1,2,0,0,2,0,4,0,6,1107
3882,Lambayeque,Costa Norte,4,2,5,1,1,1,1,0,2,0,5,0,5,1102
212,Lambayeque,Costa Norte,2,6,3,1,1,1,1,0,2,1,1,0,6,1111
1168,Lambayeque,Costa Norte,4,1,1,2,0,2,0,0,2,0,3,0,5,1111
6121,Lambayeque,Costa Norte,3,5,3,2,0,2,0,0,2,1,6,1,4,1108
9075,Lambayeque,Costa Norte,2,7,4,1,1,1,1,0,3,1,2,0,4,1106
8233,Lambayeque,Costa Norte,2,5,4,2,0,2,0,0,4,1,4,1,6,1107
5832,Lambayeque,Costa Norte,3,3,3,2,0,2,0,0,3,1,4,0,5,1108
5697,Lambayeque,Costa Norte,4,5,3,1,1,2,0,0,1,0,1,0,4,1103
7011,Lambayeque,Costa Norte,4,1,3,2,0,2,0,0,2,0,3,0,6,1112
9903,Lambayeque,Costa Norte,1,2,2,1,1,2,0,0,4,1,5,1,3,1102
3058,Lambayeque,Costa Norte,2,3,3,1,1,1,1,0,3,1,4,1,5,1104
9055,Lima,Lima Metropolitana,4,4,3,1,1,2,0,0,2,1,3,0,4,1112
5622,Lima,Lima Metropolitana,4,2,5,2,0,2,0,0,2,0,3,1,5,1104
4042,Lima,Lima Metropolitana,4,1,1,2,0,2,0,0,4,0,4,0,6,1114
8123,Lima,Lima Metropolitana,1,3,4,2,0,2,0,1,4,0,3,1,5,1104
6449,Lima,Lima Metropolitana,1,5,2,1,1,2,0,1,4,1,1,0,3,1106
4550,Lima,Lima Metropolitana,2,5,1,1,1,1,1,1,3,0,7,1,5,1111
1571,Lima,Lima Metropolitana,3,1,4,1,1,1,1,0,4,0,3,1,1,1103
2817,Lima,Lima Metropolitana,3,4,4,1,1,2,0,1,4,0,2,1,6,1111
5782,Lima,Lima Metropolitana,3,2,2,2,0,1,1,0,3,1,1,1,4,1103
927,Lima,Lima Metropolitana,4,4,6,1,1,2,0,0,4,1,2,0,4,1107
6140,Lima,Lima Metropolitana,2,3,2,1,1,2,0,0,2,0,4,0,5,1115
4967,Lima,Lima Metropolitana,3,4,4,1,1,1,1,0,4,1,3,1,5,1106
5352,Lima,Lima Metropolitana,2,7,1,1,1,1,1,0,3,0,6,1,4,1102
109,Lima,Lima Metropolitana,2,4,4,2,0,2,0,1,3,0,2,1,5,1111
7490,Lima,Lima Metropolitana,3,2,4,1,1,1,1,1,4,1,1,0,4,1107
5680,Lima,Lima Metropolitana,2,1,7,2,0,2,0,1,4,0,7,1,1,1103
4476,Lima,Lima Metropolitana,2,3,4,2,0,1,1,1,4,1,5,0,3,1103
1738,Lima,Lima Metropolitana,2,5,5,1,1,1,1,1,3,1,4,0,4,1111
5545,Lima,Lima Metropolitana,3,1,1,2,0,2,0,1,3,1,7,0,5,1112
1792,Piura,Costa Norte,1,5,3,1,1,1,1,0,2,1,4,0,5,1104
7354,Piura,Sierra Norte,2,7,1,1,1,2,0,0,4,0,7,0,2,1104
4141,Piura,Costa Norte,2,5,4,1,1,1,1,0,1,0,6,0,4,1101
9531,Piura,Costa Norte,3,3,5,2,0,2,0,0,3,0,6,1,4,1101
90,Piura,Costa Norte,3,4,4,2,0,2,0,0,2,0,4,1,6,1102
5279,Piura,Sierra Norte,1,3,5,1,1,1,1,0,1,0,1,1,4,1101
8514,Piura,Sierra Norte,1,4,4,2,0,2,0,0,2,0,4,1,6,1101
8034,Piura,Costa Norte,3,4,3,1,1,2,0,0,1,1,6,0,6,1106
6941,Piura,Sierra Norte,2,4,1,2,0,1,1,0,4,1,5,1,4,1105
3410,Piura,Sierra Norte,2,3,1,1,1,2,0,0,1,0,4,0,5,1109
5723,Piura,Costa Norte,3,4,4,1,1,2,0,0,4,1,3,1,5,1103
5471,Lambayeque,Costa Norte,1,7,3,2,0,2,0,0,4,0,6,1,0,1101
7223,Lambayeque,Costa Norte,3,4,3,2,0,2,0,0,2,1,3,0,5,1105
7868,Lambayeque,Costa Norte,1,1,1,2,0,2,0,0,3,0,4,0,6,1112
16,Lambayeque,Costa Norte,4,2,3,2,0,2,0,0,2,0,6,0,1,1104
5852,Lambayeque,Costa Norte,4,6,2,2,0,2,0,0,4,1,3,0,2,1102
7401,Lambayeque,Costa Norte,1,1,7,2,0,2,0,0,4,0,1,1,1,1101
5501,Lambayeque,Costa Norte,3,6,5,1,1,1,1,0,3,1,1,0,4,1104
2168,Lambayeque,Costa Norte,3,4,3,1,1,1,1,1,3,1,6,0,4,1106
