"problema","autoritarismo_corrupcion","autoritarismo_delincuencia","cierre_congreso","democracia","confianza_policia","educacion","inseguridad_barrio","sexo","ingreso","region"
0,NA,1,NA,1,3,2,4,1,1105,"Costa"
0,NA,1,NA,3,5,3,3,1,1111,"Costa"
0,0,NA,1,7,7,3,3,1,1112,"Costa"
0,NA,1,NA,5,6,2,2,1,1104,"Costa"
0,NA,0,0,5,6,3,3,1,1111,"Costa"
0,1,NA,0,4,4,3,2,1,1115,"Costa"
NA,NA,0,1,6,5,3,2,1,1102,"Costa"
0,NA,1,0,3,6,1,3,1,1111,"Costa"
0,0,NA,1,4,2,3,2,1,1111,"Costa"
0,NA,0,1,6,6,3,2,1,1107,"Costa"
0,NA,1,NA,4,5,2,4,1,1104,"Costa"
0,NA,1,1,7,5,2,4,1,1107,"Costa"
0,1,NA,NA,1,1,2,1,1,1108,"Costa"
NA,0,NA,NA,5,5,3,3,1,1106,"Costa"
0,NA,0,0,2,5,3,2,1,1113,"Costa"
0,NA,0,NA,1,4,3,2,1,1115,"Costa"
0,NA,1,NA,4,4,2,3,1,1114,"Costa"
0,NA,0,NA,4,4,3,3,1,1106,"Costa"
0,NA,1,NA,5,4,3,3,1,1105,"Costa"
0,0,NA,NA,3,1,3,4,1,1106,"Costa"
NA,1,NA,0,3,2,2,4,1,1108,"Costa"
0,NA,1,NA,3,7,2,3,1,1103,"Costa"
0,1,NA,NA,1,3,1,4,1,NA,"Costa"
0,NA,1,NA,5,1,3,1,1,1112,"Costa"
NA,NA,1,0,2,1,2,3,1,1107,"Costa"
NA,0,NA,NA,1,2,2,3,1,1104,"Costa"
0,1,NA,NA,5,4,2,2,1,1105,"Costa"
0,1,NA,NA,5,4,3,3,1,1111,"Costa"
0,1,NA,NA,5,3,2,2,1,1105,"Costa"
0,NA,1,NA,3,2,2,2,1,1105,"Costa"
NA,1,NA,0,4,4,3,3,1,1115,"Costa"
NA,0,NA,1,7,5,2,4,1,1106,"Costa"
NA,1,NA,NA,4,6,2,3,1,1103,"Costa"
0,1,NA,1,2,3,2,3,1,1103,"Costa"
0,0,NA,NA,5,5,3,4,1,1106,"Costa"
NA,0,NA,0,3,4,2,3,1,1106,"Costa"
0,NA,1,1,3,5,1,3,1,1108,"Costa"
0,0,NA,1,2,4,2,3,1,1107,"Costa"
NA,NA,0,NA,4,2,3,3,1,1106,"Costa"
0,1,NA,NA,5,3,2,3,1,1106,"Costa"
0,1,NA,0,7,6,3,4,1,1109,"Costa"
0,NA,0,1,2,1,2,4,1,NA,"Costa"
0,0,NA,NA,3,5,2,4,0,1103,"Sierra"
0,1,NA,NA,NA,4,1,2,0,1101,"Sierra"
0,1,NA,NA,5,5,3,3,0,1107,"Costa"
0,NA,1,NA,7,6,1,1,0,1101,"Sierra"
0,0,NA,0,7,4,3,1,0,1107,"Sierra"
0,NA,0,NA,6,6,1,2,0,1102,"Sierra"
0,0,NA,1,5,4,2,1,0,1109,"Sierra"
1,0,NA,NA,7,1,3,4,0,1106,"Costa"
0,NA,0,0,5,6,3,4,0,1104,"Sierra"
0,NA,0,NA,3,2,3,1,0,NA,"Sierra"
NA,NA,1,NA,2,7,3,3,0,1105,"Costa"
0,NA,1,NA,7,2,2,3,0,NA,"Sierra"
1,1,NA,1,7,3,3,2,0,1103,"Sierra"
0,NA,0,0,7,1,2,4,0,1106,"Costa"
0,1,NA,NA,1,4,2,3,0,1107,"Costa"
0,NA,1,NA,5,2,2,4,0,1102,"Costa"
NA,NA,1,1,4,5,2,1,0,1108,"Sierra"
0,NA,0,0,7,1,3,2,0,1105,"Sierra"
1,0,NA,NA,7,4,3,4,0,1112,"Costa"
0,NA,1,NA,4,4,2,3,0,1105,"Costa"
0,1,NA,1,4,1,2,2,0,1107,"Costa"
0,1,NA,1,5,1,2,4,0,1109,"Costa"
0,NA,1,0,5,7,2,1,0,1104,"Costa"
0,0,NA,1,7,4,2,1,0,1108,"Costa"
NA,NA,1,NA,4,4,3,2,0,1107,"Costa"
NA,1,NA,NA,3,5,3,2,0,1102,"Costa"
0,NA,1,NA,5,1,3,2,0,1111,"Costa"
0,NA,NA,NA,6,3,3,4,0,1104,"Costa"
0,0,NA,NA,7,3,3,2,0,1111,"Costa"
0,0,NA,0,5,6,2,2,0,1108,"Costa"
NA,NA,1,NA,4,2,2,3,0,1106,"Costa"
0,NA,0,0,4,4,3,4,0,1107,"Costa"
NA,0,NA,1,4,1,2,4,0,NA,"Costa"
NA,0,NA,0,5,4,3,3,0,1108,"Costa"
NA,NA,1,NA,5,1,2,1,0,1103,"Costa"
0,NA,0,NA,5,3,3,2,0,1112,"Costa"
NA,NA,1,NA,6,5,2,4,0,1102,"Costa"
NA,NA,1,NA,5,4,3,3,0,1104,"Costa"
0,NA,1,NA,5,3,2,2,0,1112,"Costa"
0,NA,0,NA,3,2,3,2,0,1113,"Costa"
0,NA,0,0,3,3,3,2,0,1104,"Costa"
NA,NA,0,NA,7,4,3,4,0,1114,"Costa"
0,NA,NA,NA,NA,4,3,4,0,NA,"Costa"
0,NA,NA,NA,NA,4,2,4,0,NA,"Costa"
